"Bulan","Produksi"
"1-01",45400
"1-02",60000
"1-03",71400
"1-04",45200
"1-05",54800
"1-06",53041
"1-07",26800
"1-08",68752
"1-09",72200
"1-10",78033
"1-11",81793
"1-12",56770
"2-01",62200
"2-02",73500
"2-03",51700
"2-04",73700
"2-05",111400
"2-06",63800
"2-07",108600
"2-08",79000
"2-09",74200
"2-10",106800
"2-11",91000
"2-12",57600
"3-01", 61.000
"3-02", 94.000
"3-03", 81.600
"3-04", 89.200
"3-05", 99.200
"3-06", 88.200
"3-07", 61.800
"3-08", 2.000
"3-09", 29.000
"3-10", 31.200
"3-11", 21.900
"3-12", 34.600
